Код;Проведена;Дата;ХозОперация;Поступление;Списание;Контрагент;Заказ;Наша организация;Наш р/счет;ЗаказСНашейСтороны;Менеджер;Комментарий 1;Комментарий 2
1016;ИСТИНА;21.07.2014;30;0,00;30,00;649;1296;98;10;194;;Банковский ордер № 114945 от 21.07.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): №238 (28800 RUR ) от 21/07/14. Без НДС;
999;ИСТИНА;21.07.2014;64;0,00;30 000,00;426;850;98;10;194;;Платежное поручение № 240 от 21.07.2014 Оплата НДС за  2014 г. |НДС не облагается|;
1023;ИСТИНА;21.07.2014;49;0,00;28 800,00;710;1418;98;10;194;;Платежное поручение № 238 от 21.07.2014 Оплата за бумагу туал. по счету №168 от 21.07.2014. В том числе НДС 18 % - 4393.22;
985;ИСТИНА;22.07.2014;49;0,00;743 958,24;86;170;98;10;194;;Платежное поручение № 242 от 22.07.2014 Оплата за бум. изделия по счету № 1959 от 21.07.14. В том числе НДС 18 % - 113485.16;
1019;ИСТИНА;22.07.2014;30;0,00;60,00;649;1296;98;10;194;;"Банковский ордер № 168027 от 22.07.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы):  Документ(ы):; от 22/07/14 №№: 243 (2000 RUR ), 242 (743958.24 RUR ). Без НДС";
1029;ИСТИНА;22.07.2014;49;0,00;2 000,00;950;1898;98;10;194;;Платежное поручение № 243 от 22.07.2014 Оплата информационных услуг по счету №1580710/1 от 21.07.14. В том числе НДС 18 % - 305.08;
1012;ИСТИНА;23.07.2014;49;0,00;26 311,20;639;1276;98;10;194;;Платежное поручение № 245 от 23.07.2014 Оплата за бытовую химию по счету №5595 от 22.07.2014. В том числе НДС 18 % - 4013.57;
1001;ИСТИНА;23.07.2014;59;0,00;254 632,89;458;914;98;10;194;;Платежное поручение № 244 от 23.07.2014 Оплата хоз. товаров  согласно Договора поставки №5291 от 20.03.2014. В том числе НДС 18 % - 38842.31;
1018;ИСТИНА;23.07.2014;30;0,00;60,00;649;1296;98;10;194;;"Банковский ордер № 217204 от 23.07.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы):  Документ(ы):; от 23/07/14 №№: 244 (254632.89 RUR ), 245 (26311.2 RUR ). Без НДС";
1022;ИСТИНА;24.07.2014;60;135 262,05;0,00;658;1314;98;10;194;;"Платежное поручение № 721 от 22.07.2014 (340):135262,05; ДогN0373200054814000010_49942 от 16.06.14г счNУТ-78 от 17.07.14г; наклNУТ-78 от 17.07.14г; изделия из бумаги, в т.ч. НДС - 20633,18";
1005;ИСТИНА;24.07.2014;60;15 218,00;0,00;497;992;98;10;194;;Платежное поручение № 130 от 24.07.2014 (00000000000000000-340=15218-00 л/с 22486У77790) ч.о. по счф УТ-90 от 04.07.14г. хоз.товары ГК 34/340 от 09.04.2014г.,в т.ч.НДС(18%)-2321-39;
1004;ИСТИНА;24.07.2014;60;15 218,00;0,00;497;992;98;10;194;;Платежное поручение № 112 от 24.07.2014 (00000000000000000-340=15218-00 л/с 20486У77790) ч.о. по счф УТ-90 от 04.07.14г. хоз.товары ГК 34/340 от 09.04.2014г.,в т.ч.НДС(18%)-2321-39;
1013;ИСТИНА;25.07.2014;49;0,00;5 768,80;639;1276;98;10;194;;Платежное поручение № 248 от 25.07.2014 Закупка моющих по счету №5693 от 25.07.2014. В том числе НДС 18 % - 879.99;
1017;ИСТИНА;25.07.2014;30;0,00;90,00;649;1296;98;10;194;;"Банковский ордер № 317647 от 25.07.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы):  Документ(ы):; от 25/07/14 №№: 248 (5768.8 RUR ), 246 (8555.16 RUR ), 247 (12600 RUR ). Без НДС";
1026;ИСТИНА;25.07.2014;49;0,00;12 600,00;890;1778;98;10;194;;Платежное поручение № 247 от 25.07.2014 Оплата за бахилы по счету №4155 от 25.07.14. В том числе НДС 10 % - 1145.45;
1033;ИСТИНА;25.07.2014;49;0,00;8 555,16;982;1962;98;10;194;;Платежное поручение № 246 от 25.07.2014 Оплата за диспенсер по счету №3211 от 22.07.14.  В том числе НДС 18 % - 1305.02;
995;ИСТИНА;25.07.2014;57;100 000,00;0,00;384;766;98;10;194;;Платежное поручение № 28616 от 25.07.2014 Возврат средств, перечисленных для обеспечения участия в открытых аукционах в электроннном виде. Без НДС;
991;ИСТИНА;30.07.2014;51;0,00;93 700,00;275;548;98;10;194;;Платежное поручение № 249 от 30.07.2014 Обеспечение исполнения контракта НДС не облагается;
984;ИСТИНА;30.07.2014;61;7 800,00;0,00;52;102;98;10;194;;Платежное поручение № 81 от 30.07.2014 Возврат денежных средств по письму №31/14 от 25.07.2014 за товар. В том числе НДС 1189.83.;
996;ИСТИНА;30.07.2014;57;87 844,30;0,00;384;766;98;10;194;;Платежное поручение № 32320 от 30.07.2014 Возврат средств, перечисленных для обеспечения участия в открытых аукционах в электроннном виде. Без НДС;
1025;ИСТИНА;30.07.2014;61;27 234,49;0,00;870;1738;98;10;194;;Платежное поручение № 952 от 30.07.2014 Возврат дс за канцтовары, излишне перечисленные пп 211 от 23.06.14 Cумма 27234-49, в т.ч. НДС(18%) - 4154-41.;
1000;ИСТИНА;31.07.2014;60;31 259,30;0,00;443;884;98;10;194;;Платежное поручение № 719 от 31.07.2014 (005-0000-0000000-000-340=31259-30 ) л/с 22005210010 Пакеты, мыло,губка и т.д. по тов.нак.УТ-72 от 04.07.2014г. Гражданско-прав 0348300300114000023-0200676-01 от 27.05.2014, в т.ч. НДС ( 18% ) - 4 768.37.;
1082;ИСТИНА;01.08.2014;60;27 418,01;0,00;276;550;98;10;194;;Платежное поручение № 333 от 01.08.2014 Оплата за бумагу и бумажные изделия дог. № 148300026814000091-0160910-01 от 02.06.2014, сч. № УТ-76 от 15.07.2014, в том числе НДС - 4182,41. ОМС;
1112;ИСТИНА;01.08.2014;30;0,00;2 200,00;649;1296;98;10;194;;Банковский ордер № 754136 от 01.08.2014 Авансовая плата за использование лимитированного тарифного плана МБ_ЛимТП Базис 'LIMIT_MSK_B' за период с '01/08/2014' по '31/08/2014' N дог. 40702810838170023089 . НДС не взим. (Усл.опл.: без акцепта, согл. пр;
1124;ИСТИНА;04.08.2014;49;0,00;31 750,09;870;1738;98;10;194;;Платежное поручение № 254 от 04.08.2014 Оплата хоз.средств по счёту № 0НХ/1581554/323980 от 01.08.14 В том числе НДС 4697.22;
1135;ИСТИНА;04.08.2014;51;0,00;159 127,56;1020;2038;98;10;194;;Платежное поручение № 256 от 04.08.2014 Исполнение государственного контракта НДС не облагается;
1099;ИСТИНА;04.08.2014;33;0,00;36 180,00;474;946;98;10;194;;Платежное поручение № 250 от 04.08.2014 Оплата аренды за август по договору аренды №1015 от 16.01.2014г. В том числе НДС 18 % - 5518.98;
1107;ИСТИНА;04.08.2014;49;0,00;50 240,00;639;1276;98;10;194;;Платежное поручение № 253 от 04.08.2014 Оплата хоз.средств по счёту № 5932 от 04.08.14 В том числе НДС 18 % - 7663.73;
1133;ИСТИНА;04.08.2014;49;0,00;78 000,00;982;1962;98;10;194;;Платежное поручение № 255 от 04.08.2014 Оплата хоз.средств по счёту № 3390 от 01.08.14 В том числе НДС 18 % - 11898.31;
1118;ИСТИНА;04.08.2014;49;0,00;24 660,00;650;1298;98;10;194;;Платежное поручение № 251 от 04.08.2014 Оплата хоз. средств по счёту № 104 от 01.08.14 В том числе НДС 18 % - 3761.69;
1092;ИСТИНА;04.08.2014;57;100 000,00;0,00;358;714;98;10;194;;Платежное поручение № 36 от 31.07.2014 Возврат ден. средств,перечисленных оператору электронной площадки для проведения операций по обеспечения участия в открытых аукционах в электр. форме. Заявка №499048 от 29.07.2014 г. НДС не облагается;
1104;ИСТИНА;04.08.2014;49;0,00;19 200,00;510;1018;98;10;194;;Платежное поручение № 252 от 04.08.2014 Оплата хоз.средств по счёту № 10261 от 04.08.14 В том числе НДС 18 % - 2928.81;
1123;ИСТИНА;05.08.2014;49;0,00;4 178,37;870;1738;98;10;194;;Платежное поручение № 257 от 04.08.2014 Оплата хоз.средств по счёту № 0НХ/1581554/324774 от 04.08.14 В том числе НДС 18 % - 637.38;
1098;ИСТИНА;05.08.2014;33;0,00;2 000,03;474;946;98;10;194;;Платежное поручение № 258 от 05.08.2014 Оплата за электроэнергию по Договору № 1015 от 16.01.14г. сч.№ 1406001015Э от 30.06.14 за июль, В том числе НДС 18 % - 305.09;
1101;ИСТИНА;08.08.2014;60;35 075,00;0,00;497;992;98;10;194;;Платежное поручение № 121 от 08.08.2014 (00000000000000000-340=35075.00 л/с 20486У77790) счф УТ-109 от 06.08.14г. хоз.товары ГК 34/340 от 09.04.2014г,в т.ч.НДС(18%)-5350-42;
1102;ИСТИНА;08.08.2014;60;2 000,00;0,00;497;992;98;10;194;;Платежное поручение № 119 от 08.08.2014 (00000000000000000-340=2000-00 л/с 22486У77790) счф УТ-110 от 06.08.14г. хоз.товары ГК 34/340 от 09.04.2014г.,в т.ч.НДЧС(18%)-305-08;
1120;ИСТИНА;11.08.2014;60;94 542,20;0,00;671;1340;98;10;194;;"Платежное поручение № 819 от 08.08.2014 (340):94542,20; Оплата за бумагу туалетную. Счет, накл №№ УТ-86 от 07.08.2014 г., ГК ПБ3/101-14а, НДС-14421.69,";
1094;ИСТИНА;12.08.2014;44;0,00;10 176,00;426;850;98;10;194;;Платежное поручение № 261 от 12.08.2014 Оплата НДФЛ за  2014 г. |НДС не облагается|;
1076;ИСТИНА;12.08.2014;43;0,00;17 222,00;27;52;98;10;194;;Платежное поручение № 259 от 12.08.2014 087512011315 Страховые взносы на ОПС, зачисляемые в ПФР за 2014г. НДС не облагается;
1132;ИСТИНА;12.08.2014;45;0,00;2 269,00;933;1864;98;10;194;;Платежное поручение № 262 от 12.08.2014 рег. № 7716045142, Страховые взносы на обязательное социальное страхование в бюджет ФСС России за 2014 г. НДС не облагается;
1079;ИСТИНА;12.08.2014;60;36 868,68;0,00;150;298;98;10;194;;Платежное поручение № 146 от 12.08.2014 КОСГУ 340 000 Оплата за моющие средства по сч.УТ-63 от 30/06/14 (ГПД ...14000044_65418 от 17/06/143)В т.ч НДС-5624,04;
1075;ИСТИНА;12.08.2014;43;0,00;3 993,00;27;52;98;10;194;;Платежное поручение № 260 от 12.08.2014 087512011315 Страховые взносы на ОМС в ФФОМС за 2014г. НДС не облагается;
1131;ИСТИНА;12.08.2014;45;0,00;156,13;933;1864;98;10;194;;Платежное поручение № 263 от 12.08.2014 рег. № 7716045142, Страховые взносы 0,2% на ОСС от НС_ПЗ за 2014г НДС не облагается;
1130;ИСТИНА;14.08.2014;60;33 300,00;0,00;894;1786;98;10;194;;"Платежное поручение № 934 от 14.08.2014 (00000000000000000340;л/с20736X21710)Ч.о.За прочие мат. запасы (бахилы),т/н УТ-60 от 25.06.14 по дог. А-143/14 от 17.06.14НДС3027.27";
1129;ИСТИНА;14.08.2014;60;77 700,00;0,00;894;1786;98;10;194;;"Платежное поручение № 157 от 14.08.2014 (00000000000000000340;л/с22736X21710)Ч.о.За прочие мат. запасы (бахилы),т/н УТ-60 от 25.06.14 по дог. А-143/14 от 17.06.14НДС7063.64";
1134;ИСТИНА;18.08.2014;51;0,00;192 132,03;1008;2014;98;10;194;;Платежное поручение № 264 от 15.08.2014 Обеспечение исполнения государственного контракта НДС не облагается;
1138;ИСТИНА;18.08.2014;51;0,00;62 930,00;1079;2156;98;10;194;;Платежное поручение № 265 от 18.08.2014 Обеспечение исполнения Государственного контракта. НДС не облагается;
1103;ИСТИНА;19.08.2014;49;0,00;63 206,00;510;1018;98;10;194;;Платежное поручение № 267 от 18.08.2014 Оплата хоз.средств по счёту № 10730 от 18.08.2014 г. , В том числе НДС 18 % - 9641.59;
1117;ИСТИНА;19.08.2014;30;0,00;8,00;649;1296;98;10;194;;Банковский ордер № 458709 от 19.08.2014 Комиссия за ПП/ПТ в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): №267 (63206 RUR ) от 18/08/14. Без НДС;
1108;ИСТИНА;19.08.2014;49;0,00;173 446,42;639;1276;98;10;194;;Платежное поручение № 268 от 18.08.2014 Оплата хоз.средств по счёту № 6402 от 18.08.2014г. , в т.ч НДС 18% - 26457,95 р.;
1100;ИСТИНА;19.08.2014;33;0,00;1 429,90;474;946;98;10;194;;Платежное поручение № 269 от 19.08.2014 Оплата за электроэнергию по Договору № 1015 от 16.01.14г. сч.№ 1407001015Э от 31.07.14 за июль, В том числе НДС 18 % - 218.12;
1128;ИСТИНА;19.08.2014;49;0,00;9 900,00;890;1778;98;10;194;;Платежное поручение № 266 от 18.08.2014 Оплата хоз.средств по счёту № 4713 от 18.08.2014г. ,  В том числе НДС 900.00;
1116;ИСТИНА;19.08.2014;30;0,00;90,00;649;1296;98;10;194;;"Банковский ордер № 458708 от 19.08.2014 Комиссия за ПП/ПТ в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы):  Документ(ы):   Документ(ы):; от 18/08/14 №№: 266 (9900 RUR ), 268 (173446.42 RUR ); от 19/08/14 №№: 2";
1095;ИСТИНА;20.08.2014;64;0,00;28 810,00;426;850;98;10;194;;Платежное поручение № 270 от 20.08.2014 Оплата НДС за  2014 г. |НДС не облагается|;
1091;ИСТИНА;20.08.2014;60;234 649,16;0,00;350;698;98;10;194;;"Платежное поручение № 854 от 19.08.2014 (340):234649.16;Опл.за получ.хозтовары.Счет № УТ-56 от 18.06.2014г,накл. № УТ-56 от 18.06.2014г.ГПД № 37/14 от 02.06.2014г, в т.ч. НДС(18%)-35793-95";
1105;ИСТИНА;20.08.2014;60;98 500,00;0,00;611;1220;98;10;194;;"Платежное поручение № 835 от 20.08.2014 (00000000000000000340; л.сч 20736X73000) Опл.К.0373100047414000136 от 16,05,14 сч. и т.н.УТ-81 от 30.07.14, за хоз. товары (салфетки бум.) в т.ч.НДС 18%-15025,42";
1127;ИСТИНА;21.08.2014;49;0,00;27 800,00;890;1778;98;10;194;;Платежное поручение № 273 от 20.08.2014 Оплата хоз.средств по счёту № 4765 от 20.08.2014г , В том числе НДС 2527.28;
1119;ИСТИНА;21.08.2014;60;94 668,00;0,00;670;1338;98;10;194;;Платежное поручение № 94 от 20.08.2014 (340):94668,00.За салфетки и бумагу туал. по сч№УТ-98 от 13.08.14 (ГК№ 32-ЭА от 12.05.14) НДС - 14440,88.;
1097;ИСТИНА;21.08.2014;51;0,00;106 500,00;450;898;98;10;194;;Платежное поручение № 271 от 20.08.2014 Обеспечение исполнения Государственного контракта НДС не облагается;
1074;ИСТИНА;21.08.2014;51;0,00;24 013,36;16;30;98;10;194;;Платежное поручение № 275 от 21.08.2014 Обеспечение исполнения Государственного контракта НДС не облагается;
1078;ИСТИНА;21.08.2014;49;0,00;3 810,00;124;246;98;10;194;;Платежное поручение № 278 от 21.08.2014 Оплата хоз.средств по счёту № 337 от 21.08.2014г , В том числе НДС 18 % - 581.19;
1121;ИСТИНА;21.08.2014;49;0,00;31 830,00;672;1342;98;10;194;;Платежное поручение № 277 от 21.08.2014 Оплата хоз.средств по счёту № 000633 от 21.08.2014 г. , В том числе НДС 18 % - 4855.42;
1110;ИСТИНА;21.08.2014;30;0,00;16,00;649;1296;98;10;194;;"Банковский ордер № 559285 от 21.08.2014 Комиссия за ПП/ПТ в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы):  Документ(ы):; от 21/08/14 №№: 277 (31830 RUR ), 276 (9020 RUR ). Без НДС";
1126;ИСТИНА;21.08.2014;49;0,00;29 418,17;870;1738;98;10;194;;Платежное поручение № 274 от 20.08.2014 Оплата хоз. средств по счёту № 0НХ/1581554/333621 от 20.08.2014 , В том числе НДС 18 % - 4487.52;
1093;ИСТИНА;21.08.2014;49;0,00;9 020,00;413;824;98;10;194;;Платежное поручение № 276 от 21.08.2014 Оплата хоз. средств по счёту № 1783 от 20.08.2014 г, В том числе НДС 18 % - 1375.93;
1077;ИСТИНА;21.08.2014;49;0,00;43 043,00;28;54;98;10;194;;Платежное поручение № 272 от 20.08.2014 Оплата хоз.товаров по счёту № 3438 от 18.08.2014 г,В том числе НДС 18 % - 6565.88;
1111;ИСТИНА;21.08.2014;30;0,00;120,00;649;1296;98;10;194;;"Банковский ордер № 559283 от 21.08.2014 Комиссия за ПП/ПТ в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы):  Документ(ы):   Документ(ы):; от 20/08/14 №№: 272 (43043 RUR ), 273 (27800 RUR ), 274 (29418.17 RUR );";
1090;ИСТИНА;22.08.2014;60;56 161,18;0,00;309;616;98;10;194;;Платежное поручение № 289 от 21.08.2014 (340)Поставка моющих средств,Счет № УТ-93 от 11.08.2014г,ГП_Дог. № 5-11 от 29.07.2014г,Накладная № УТ-93 от 11.08.2014г,товар получен,в т.ч. НДС(18%)-8566-97;
1087;ИСТИНА;22.08.2014;60;38 325,81;0,00;309;616;98;10;194;;Платежное поручение № 292 от 21.08.2014 (340)Поставка моющих средств,Счет № УТ-90 от 08.08.2014г,ГП_Дог. № 5-11 от 29.07.2014г,Накладная № УТ-90 от 08.08.2014г,товар получен,в т.ч. НДС(18%)-5846-31;
1086;ИСТИНА;22.08.2014;60;38 325,81;0,00;309;616;98;10;194;;Платежное поручение № 293 от 21.08.2014 (340)Поставка моющих средств,Счет № УТ-87 от 08.08.2014г,ГП_Дог. № 5-11 от 29.07.2014г,Накладная № УТ-87 от 08.08.2014г,товар получен,в т.ч. НДС(18%)-5846-31;
1088;ИСТИНА;22.08.2014;60;38 325,81;0,00;309;616;98;10;194;;Платежное поручение № 291 от 21.08.2014 (340)Поставка моющих средств,Счет № УТ-91 от 11.08.2014г,ГП_Дог. № 5-11 от 29.07.2014г,Накладная № УТ-91 от 11.08.2014г,товар получен,в т.ч. НДС(18%)-5846-31;
1089;ИСТИНА;25.08.2014;60;38 325,81;0,00;309;616;98;10;194;;Платежное поручение № 328 от 22.08.2014 (340)Поставка моющих средств,Счет № УТ-92 от 11.08.2014г,ГП_Дог. № 5-11 от 29.07.2014г,Накл. № УТ-92 от 11.08.2014г,товар получен,в т.ч. НДС(18%)-5846-31;
1122;ИСТИНА;27.08.2014;49;0,00;62 061,40;845;1688;98;10;194;;Платежное поручение № 280 от 27.08.2014 Оплата хоз.средств по счёту № 591 от 25.08.2014 г , в т.ч. НДС - 9 466,99 р;
1096;ИСТИНА;27.08.2014;60;26 469,37;0,00;443;884;98;10;194;;Платежное поручение № 970 от 27.08.2014 (005-0000-0000000-000-340=26469-37 ) л/с 22005210010 Мыло хоз.,чистящее со-ва и т.д. по тов.нак.УТ-36 от 28.05.2014г. Гражданско-прав 0348300300114000023-0200676-01 от 27.05.2014, в т.ч. НДС ( 18% ) - 4 037.71.;
1114;ИСТИНА;27.08.2014;30;0,00;60,00;649;1296;98;10;194;;"Банковский ордер № 760977 от 27.08.2014 Комиссия за ПП/ПТ в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы):  Документ(ы):; от 27/08/14 №№: 281 (36304.7 RUR ), 280 (62061.4 RUR ). Без НДС";
1109;ИСТИНА;27.08.2014;49;0,00;36 304,70;639;1276;98;10;194;;Платежное поручение № 281 от 27.08.2014 Оплата хоз. средств по счёту № 6589 от 22.08.2014г , в т.ч. НДС - 5 538,02 р.;
1115;ИСТИНА;27.08.2014;30;0,00;8,00;649;1296;98;10;194;;Банковский ордер № 760980 от 27.08.2014 Комиссия за ПП/ПТ в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): №279 (2600 RUR ) от 22/08/14. Без НДС;
1139;ИСТИНА;27.08.2014;49;0,00;2 600,00;1142;2282;98;10;194;;Платежное поручение № 279 от 22.08.2014 Оплата штампов по счёту № 94 от 21.08.2014 г., без НДС;
1084;ИСТИНА;28.08.2014;60;377 199,81;0,00;277;552;98;10;194;;Платежное поручение № 348 от 27.08.2014 (340):377199.81 Оплата по сч.УТ-68 от 01.07.2014г.Полотенце бумажное по контракту 0373200097814000008 от 19.06.2014г.накл.УТ-68 от 01.07.2014г в т.ч. НДС(18%)-57538-95;
1083;ИСТИНА;28.08.2014;60;118 029,60;0,00;277;552;98;10;194;;Платежное поручение № 347 от 27.08.2014 (340):118029.60 Оплата по сч.УТ-75 от 15.07.2014г.Полотенце бумажное по контракту 0373200097814000008 от 19.06.2014г.накл.УТ-75 от 15.07.2014г в т.ч. НДС(18%)-18004-52;
1080;ИСТИНА;29.08.2014;60;35 104,02;0,00;150;298;98;10;194;;Платежное поручение № 195 от 29.08.2014 КОСГУ 340 000 Оплата за моющие средства по сч.УТ-88 от 08/08/14 (ГПД ...14000044_65418 от 17/06/143)В т.ч НДС-5354,85;
1085;ИСТИНА;29.08.2014;51;0,00;55 842,41;306;610;98;10;194;;Платежное поручение № 282 от 29.08.2014 Обеспечение исполнения Государственного контракта.;
1137;ИСТИНА;29.08.2014;60;33 942,00;0,00;1020;2038;98;10;194;;"Платежное поручение № 856 от 27.08.2014 (340):33942.00;Оплата за моющие и чистящие ср-ва по дог. 1236-1-МКХ от 18.08.2014 счет УТ-106, т/н УТ-106 от 26.08.2014.В т.ч. НДС 18%-5177.60.";
1113;ИСТИНА;29.08.2014;30;0,00;30,00;649;1296;98;10;194;;Банковский ордер № 82801 от 29.08.2014 Комиссия за ПП/ПТ в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): №283 (58860.32 RUR ) от 29/08/14. Без НДС;
1081;ИСТИНА;29.08.2014;60;545 777,63;0,00;273;544;98;10;194;;Платежное поручение № 181 от 28.08.2014 (340):545777,63.Опл по сч№УТ-83 от 05.08.14г, за приобритение полотенец и салфеток бумажных, согл.дог№0373200303714000027-1 от 28.07.14г, ТН№УТ-83 от 05.08.14г.В т.ч. НДС18%-83254,21.;
1125;ИСТИНА;29.08.2014;49;0,00;58 860,32;870;1738;98;10;194;;Платежное поручение № 283 от 29.08.2014 Оплата хоз. средств по счёту № 0НХ/1581554/338308 от 28.08.2014г. В том числе НДС 18 % - 8978.69;
1106;ИСТИНА;29.08.2014;60;27 367,20;0,00;611;1220;98;10;194;;"Платежное поручение № 756 от 29.08.2014 (00000000000000000340; л.сч 20736X73000) Опл.К.0373100047414000136 от 16,05,14 сч. и т.н.УТ-102 от 20.08.14, за хоз. товары (туалет.бумага) в т.ч.НДС 18%-4174,66";
1136;ИСТИНА;29.08.2014;60;354 849,74;0,00;1020;2038;98;10;194;;"Платежное поручение № 857 от 27.08.2014 (340):354849.74;Оплата за моющие и чистящие ср-ва по дог. 1236-1-МКХ от 18.08.2014 счет УТ-105, т/н УТ-105 от 26.08.2014.В т.ч. НДС 18%-54129.60.";
3726;ИСТИНА;01.09.2014;60;4 500,00;0,00;894;1786;98;10;194;;"Платежное поручение № 898 от 01.09.2014 (00000000000000000340;л/с22736X21710)За прочие мат. запасы (освежитель воздуха),т/н УТ-80 от 17.07.14 по дог. А-130/14 от 05.06.14НДС686.44";
3629;ИСТИНА;01.09.2014;49;0,00;24 942,55;782;1562;98;10;194;;Платежное поручение № 284 от 01.09.2014 Оплпта хоз.средств по счёту № 2812 от 01.09.2014 г, в т. ч. НДС - 3804,81 р.;
3545;ИСТИНА;01.09.2014;30;0,00;2 200,00;649;1296;98;10;194;;Банковский ордер № 104325 от 01.09.2014 Авансовая плата за использование лимитированного тарифного плана МБ_ЛимТП Базис 'LIMIT_MSK_B' за период с '01/09/2014' по '30/09/2014' N дог. 40702810838170023089 . НДС не взим. (Усл.опл.: без акцепта, согл. пр;
3720;ИСТИНА;01.09.2014;60;67 342,10;0,00;894;1786;98;10;194;;"Платежное поручение № 548 от 01.09.2014 (00000000000000000340;л/с20736X21710)За прочие мат. запасы (салфетки),т/н УТ-79 от 18.07.14 по дог. А-130/14 от 05.06.14НДС10272.54";
3772;ИСТИНА;03.09.2014;53;202 999,94;0,00;1031;2060;98;10;194;;"Платежное поручение № 902 от 02.09.2014 202999-94; Возврат обеспечения торгов по плат.пор.№ 70 от 27.03.2014г, НДС не облагается";
3771;ИСТИНА;03.09.2014;53;101 499,97;0,00;1031;2060;98;10;194;;"Платежное поручение № 901 от 02.09.2014 101499-97; Возврат обеспечения торгов по плат.пор.№ 71 от 01.04.2014г, НДС не облагается";
3773;ИСТИНА;04.09.2014;60;33 583,48;0,00;1031;2060;98;10;194;;"Платежное поручение № 898 от 02.09.2014 (340):33583-48;оплата за хозяйственные товары(бахилы,чист.ср-ва), дог.№0373200100614000003 от 03.04.14,сч.№УТ-96 от 14.08.14,т/н№ УТ-57 от 04.08.14, в т. ч. НДС(18%) -5122,91";
3775;ИСТИНА;04.09.2014;60;47 792,56;0,00;1031;2060;98;10;194;;"Платежное поручение № 900 от 02.09.2014 (340):47792-56;оплата за хозяйственные товары(бахилы,чист.ср-ва), дог.№0373200100614000003 от 03.04.14,сч.№УТ-94 от 13.08.14,т/н№ УТ-57 от 04.08.14, в т. ч. НДС(18%) -7290,39";
3776;ИСТИНА;04.09.2014;60;48 766,14;0,00;1031;2060;98;10;194;;"Платежное поручение № 905 от 02.09.2014 (340):48766-14;оплата за хозяйственные товары(бахилы,чист.ср-ва), дог.№0373200100614000003 от 03.04.14,сч.№УТ-97 от 14.08.14,т/н№ УТ-97 от 14.08.14, в т. ч. НДС(18%) -7438,90";
3700;ИСТИНА;04.09.2014;49;0,00;70 313,81;870;1738;98;10;194;;Платежное поручение № 285 от 04.09.2014 Оплата канцелярских товаров по счёту № 0НХ/1581554/340595 от 03.09.2014 г.;
3774;ИСТИНА;04.09.2014;60;35 328,28;0,00;1031;2060;98;10;194;;"Платежное поручение № 899 от 02.09.2014 (340):35328-28;оплата за хозяйственные товары(бахилы,чист.ср-ва), дог.№0373200100614000003 от 03.04.14,сч.№УТ-95 от 13.08.14,т/н№ УТ-57 от 13.08.14, в т. ч. НДС(18%) -5389,06";
3364;ИСТИНА;05.09.2014;53;95 411,83;0,00;277;552;98;10;194;;Платежное поручение № 425 от 04.09.2014 Возврат денежных средств по п/п № 195 от 10.06.2014г.в связи с обеспечением исполнения контракта по форме реестровый номер торгов 0373200097814000008 безНДС;
3501;ИСТИНА;05.09.2014;49;0,00;50 179,48;639;1276;98;10;194;;Платежное поручение № 287 от 05.09.2014 Оплата хоз средств по счёту № 7015 от 05.09.2014г.;
3702;ИСТИНА;05.09.2014;49;0,00;34 867,58;870;1738;98;10;194;;Платежное поручение № 286 от 05.09.2014 Оплата канцелярских товаров по счёту № 0НХ/1581554/342435 от 05.09.2014 г.;
3380;ИСТИНА;08.09.2014;51;0,00;184 901,11;308;614;98;10;194;;Платежное поручение № 290 от 08.09.2014 Обеспечение исполнения Государственного контракта НДС не облагается;
3745;ИСТИНА;08.09.2014;51;0,00;129 627,36;949;1896;98;10;194;;Платежное поручение № 289 от 08.09.2014 Обеспечение исполнения Государственного контракта НДС не облагается;
3248;ИСТИНА;08.09.2014;60;18 698,40;0,00;29;56;98;10;194;;Платежное поручение № 170 от 08.09.2014 (20736Ц36950) 00000000000000000340 приобр мат зап (хоз мат-лы сч №УТ-38 от 20.08.14) накл №УТ-104 от 25.08.14 в т.ч. НДС 2852.30 (5);
3448;ИСТИНА;08.09.2014;33;0,00;36 180,00;474;946;98;10;194;;Платежное поручение № 288 от 08.09.2014 Оплата аренды за сентябрь по договору аренды №1015 от 16.01.2014г. В том числе НДС 18 % - 5518.98;
